homepage_url,disclosure_url,status,reason
https://4fin.in/,,Not Found,No relevant disclosure links found after crawling 38 pages
https://www.bankbazaar.com/,,Not Found,No relevant disclosure links found after crawling 12 pages
https://getkosh.com/,,Not Found,"Best candidate found (score: 45.0) but failed DLG content validation. Crawled 13 pages, evaluated 1 links."
https://www.cashe.co.in/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://www.rapidrupee.in/,,Not Found,No relevant disclosure links found after crawling 1 pages
www.agrosperity.com,,Not Found,No relevant disclosure links found after crawling 3 pages
https://revfin.in/,https://revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf,Found,Found high-scoring link (score: 48.0)
https://www.creditlinks.in/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 36 pages, evaluated 0 links."
https://ayekart.com/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 19 pages, evaluated 0 links."
www.buddyloan.com,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 39 pages, evaluated 36 links."
https://carepay.money/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://www.myjar.app/,,Not Found,No relevant disclosure links found after crawling 30 pages
https://www.cheq.one/,,Not Found,No relevant disclosure links found after crawling 1 pages
http://www.creditt.in/,,Not Found,No relevant disclosure links found after crawling 3 pages
https://www.creditas.in/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 16 pages, evaluated 0 links."
https://www.creditsea.com,,Not Found,No relevant disclosure links found after crawling 17 pages
www.crif.in,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 21 pages, evaluated 0 links."
https://www.myshubhlife.com/,https://docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub,Found,Found high-scoring link (score: 25.0)
https://www.progcap.com/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 15 pages, evaluated 0 links."
https://cred.club/,https://cred.club/legal/other-disclosures,Found,Found via fast-path probe: /legal/other-disclosures
https://www.getzype.com/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://fi.money,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 50 pages, evaluated 14 links."
https://www.stashfin.com/,,Not Found,"Best candidate found (score: 20.0) but failed DLG content validation. Crawled 27 pages, evaluated 1 links."
https://fatakpay.com/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 40 pages, evaluated 0 links."
https://finagg.in/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 1 pages, evaluated 0 links."
https://fingel.in,https://fingel.in/dlg-disclosure,Found,Found via fast-path probe: /dlg-disclosure
https://www.kreditbee.in/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://finnup.in/,,Not Found,No relevant disclosure links found after crawling 12 pages
https://www.finsall.com/,https://www.finsall.com/compliance.html,Found,"Found after crawling 15 pages (score: 7.0, links evaluated: 15, validation: strict)"
https://www.capitalnow.in/,,Not Found,No relevant disclosure links found after crawling 30 pages
https://indiagold.co/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://trustpaisa.com/,,Not Found,No relevant disclosure links found after crawling 29 pages
https://www.flexmoney.in/,,Not Found,No relevant disclosure links found after crawling 8 pages
https://www.getonecard.app/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 31 pages, evaluated 29 links."
https://roopya.money/,,Not Found,No relevant disclosure links found after crawling 27 pages
https://gokiwi.in/,,Not Found,No relevant disclosure links found after crawling 31 pages
https://www.paymeindia.in/,https://www.paymeindia.in/policy-disclosure,Found,Found via fast-path probe: /policy-disclosure
https://hyperverge.co/,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 50 pages, evaluated 116 links."
https://swipeloan.in/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 50 pages, evaluated 0 links."
https://kuberjee.com/,,Not Found,No relevant disclosure links found after crawling 18 pages
https://loantap.in/,https://loantap.in/disclosures,Found,Found via fast-path probe: /disclosures
https://mpokket.in/,,Not Found,"Best candidate found (score: 17.0) but failed DLG content validation. Crawled 1 pages, evaluated 0 links."
https://www.rupeeredee.com/,https://www.rupeeredee.com/other-disclosures,Found,Found high-scoring link (score: 20.0)
https://navi.com/,https://public-assets.prod.navi-tech.in/navi-website-assests/documents/DLG%20Disclosure%20May%2025_20250609155543.pdf,Found,Found high-scoring link (score: 23.0)
https://www.getshopse.com/customertnc/,,Not Found,No relevant disclosure links found after crawling 14 pages
https://paytm.com/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://www.mobikwik.com/,,Not Found,No relevant disclosure links found after crawling 23 pages
https://kissht.com/,https://kissht.com/dlg-disclosure,Found,Found via fast-path probe: /dlg-disclosure
https://karmalife.ai/,https://karmalife.ai/dlg-disclosure,Found,Found via fast-path probe: /dlg-disclosure
https://www.paisabazaar.com/,https://www.paisabazaar.com/disclosures,Found,Found via fast-path probe: /disclosures
https://www.gopaysense.com/,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 50 pages, evaluated 46 links."
https://phocket.in/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://www.phonepe.com/,https://www.phonepe.com/lending/other-disclosures,Found,Found via fast-path probe: /lending/other-disclosures
https://www.profintech.in/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://okcredit.com/,https://okbz.in/okcredit-public/oktermloan/DLG%20Portfolio%20Disclosure.pdf,Found,Found high-scoring link (score: 48.0)
https://niro.money/,,Not Found,No relevant disclosure links found after crawling 14 pages
https://wecredit.co.in/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://www.quid.com/,,Not Found,No relevant disclosure links found after crawling 45 pages
https://bharatpe.com/,,Not Found,No relevant disclosure links found after crawling 31 pages
https://sahibandhu.com/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 1 pages, evaluated 0 links."
https://tala.co.in/,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 44 pages, evaluated 11 links."
https://savein.money/,,Not Found,No relevant disclosure links found after crawling 15 pages
https://oolka.in/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://www.olyv.co.in/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://www.fibe.in/,https://www.fibe.in/disclosure/,Found,Found high-scoring link (score: 20.0)
https://ambak.com/,,Not Found,No relevant disclosure links found after crawling 39 pages
https://www.truecredits.in/,https://www.truecredits.in/dlg-disclosure,Found,Found via fast-path probe: /dlg-disclosure
https://uniorbit.in/,,Not Found,No relevant disclosure links found after crawling 12 pages
https://www.uni.cards/,https://www.uni.cards/dlg-portfolio,Found,Found via fast-path probe: /dlg-portfolio
https://credin.in/home,,Not Found,No relevant disclosure links found after crawling 8 pages
https://www.vitto.money/,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 15 pages, evaluated 1 links."
www.flexipayment.in,https://flexipayment.in/legal-compliance/,Found,"Found after crawling 1 pages (score: 7.0, links evaluated: 0, validation: strict)"
www.credithaat.com,,Not Found,No relevant disclosure links found after crawling 46 pages
https://zetapp.in/,,Not Found,"Best candidate found (score: 5.0) but failed DLG content validation. Crawled 50 pages, evaluated 50 links."
www.xtracapindia.com,,Not Found,No relevant disclosure links found after crawling 19 pages
https://yuvarajfinance.in/,,Not Found,No relevant disclosure links found after crawling 11 pages
https://www.growhiz.com/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://moneyview.in/,https://moneyview.in/dlg-disclosure,Found,Found via fast-path probe: /dlg-disclosure
https://www.bundelafinance.com/,,Not Found,No relevant disclosure links found after crawling 13 pages
https://leasekaro.co.in/,,Not Found,No relevant disclosure links found after crawling 5 pages
www.anytimerupee.com,,Not Found,No relevant disclosure links found after crawling 1 pages
https://www.bajajfinservmarkets.in/,https://www.bajajfinservmarkets.in/disclosures,Found,Found via fast-path probe: /disclosures
www.nivasafinance.com,,Not Found,No relevant disclosure links found after crawling 13 pages
https://finmantri.com/,,Not Found,No relevant disclosure links found after crawling 6 pages
https://1fi.in/,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 13 pages, evaluated 1 links."
http://www.gnfintech.com/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://www.whatsloan.com/,,Not Found,No relevant disclosure links found after crawling 25 pages
https://nestgens.com/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://snapfunds.in/,,Not Found,No relevant disclosure links found after crawling 4 pages
https://www.larkfinserv.com/,,Not Found,No relevant disclosure links found after crawling 1 pages
http://creditx.co.in/,,Not Found,No relevant disclosure links found after crawling 11 pages
http://www.niviloans.com/,,Not Found,No relevant disclosure links found after crawling 1 pages
http://www.bimapay.in/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 1 pages, evaluated 0 links."
https://assuredsum.com/,,Not Found,No relevant disclosure links found after crawling 1 pages
http://www.niyaracap.com/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://www.dmiinfotechsolutions.in/,,Not Found,No relevant disclosure links found after crawling 1 pages
http://pfilfinance.com/,,Not Found,No relevant disclosure links found after crawling 10 pages
https://www.davintafinserv.com/,,Not Found,No relevant disclosure links found after crawling 25 pages
http://www.nirafinance.com/,http://www.nirafinance.com/dlg-disclosure,Found,Found via fast-path probe: /dlg-disclosure
https://hellocredit.in/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://abhicash.in/,,Not Found,"Best candidate found (score: 8.0) but failed DLG content validation. Crawled 8 pages, evaluated 1 links."
https://www.lightfinance.com/,,Not Found,"Best candidate found (score: 8.0) but failed DLG content validation. Crawled 18 pages, evaluated 6 links."
http://www.yellowmetal.co/,,Not Found,No relevant disclosure links found after crawling 5 pages
http://www.intellendtech.com/,,Not Found,No relevant disclosure links found after crawling 2 pages
http://www.fundingsathi.in/,,Not Found,No relevant disclosure links found after crawling 8 pages
