name,home_url,active,dlg_url,parse_hint,fetch_hint,rules_json,last_crawl_date
AKARA CAPITAL ADVISORS PRIVATE LIMITED,www.stashfin.com/website-disclosure,1,www.stashfin.com/website-disclosure,auto,auto,"'{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
CRED,cred.club/legal/other-disclosures,1,cred.club/legal/other-disclosures,plain_text,auto,"'{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-12-31""}}}'",
CreditVidya,prefr.com/disclosures,1,prefr.com/disclosures,plain_text,playwright,"'{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-12-31""}}}'",
Fingel Management Services Pvt. Ltd.,fingel.in/dlg-disclosure,1,fingel.in/dlg-disclosure,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in Rs)"", ""as_on"": {""constant"": ""2023-06-30""}}}'",
Finsall Resources Private Limited,www.finsall.com/compliance.html,1,www.finsall.com/compliance.html,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (Rs Crore)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Flexi Payment,flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf,1,flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf,auto,auto,"'{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": ""Portfolio OS as on 31-05-2025"", ""as_on"": {""constant"": ""2025-05-31""}}}'",
GetVantage Tech Private Limited,getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf,1,getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf,pdf_table,auto,"'{""field_map"": {""portfolio"": {""keys"": [""col_1""], ""regex"": ""Partner_([0-9]+)""}, ""amount"": {""keys"": [""col_2""], ""regex"": ""₹ ([0-9.]+)""}, ""as_on"": {""constant"": ""2025-10-31""}}}'",
Groww Credit,credit.groww.in/pages/other-disclosures,1,credit.groww.in/pages/other-disclosures,auto,requests,"'{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": ""Lender A"", ""amount"": ""Outstanding Amount (Rs. Crores)"", ""as_on"": ""Date""}}'",
Kissht,kissht.com/dlg-disclosure,1,kissht.com/dlg-disclosure,auto,auto,"'{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}, ""forward_fill"": [""Lender""]}'",
KrazyBee Services Limited,s3.ap-south-1.amazonaws.com/uploads.kbnbfc.in/PoliciesAndCodes/DISCLOSURE+UNDER+GUIDELINES+ON+DEFAULT+LOSS+GUARANTEE.pdf,1,s3.ap-south-1.amazonaws.com/uploads.kbnbfc.in/PoliciesAndCodes/DISCLOSURE+UNDER+GUIDELINES+ON+DEFAULT+LOSS+GUARANTEE.pdf,auto,auto,"'{""field_map"": {}}'",
LoanTap,loantap.in/wp-content/uploads/MAS_Disclosure-under-Guidelines-on-Default-Loss-GuaranteeDLG-1-2.pdf,1,loantap.in/wp-content/uploads/MAS_Disclosure-under-Guidelines-on-Default-Loss-GuaranteeDLG-1-2.pdf,pdf_table,auto,"'{""field_map"": {""portfolio"": ""Name of the Portfolio"", ""amount"": ""Total Amount (Crores)\nof Portfolio."", ""as_on"": {""constant"": ""2025-03-31""}}}'",
Moneyview Limited,moneyview.in/dlg-disclosure,1,moneyview.in/dlg-disclosure,html_table,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (INR in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
MyShubhLife,docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub,1,docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ₹ Cr)"", ""as_on"": {""constant"": ""2024-03-31""}}}'",
Navi Finserv,public-assets.prod.navi-tech.in/navi-website-assests/documents/DLG%20Disclosure%20May%2025_20250609155543.pdf,1,public-assets.prod.navi-tech.in/navi-website-assests/documents/DLG%20Disclosure%20May%2025_20250609155543.pdf,pdf_table,auto,"'{""field_map"": {""portfolio"": {""keys"": [""Sr.\nN0.""], ""regex"": ""([a-z])\\)""}, ""amount"": ""Outstanding portfolio amount on which DLG\nhas been offered as on 31 May 2025"", ""as_on"": {""constant"": ""2025-05-31""}}}'",
Ninjacart Services Private Limited,www.ninjacartservices.com/disclosures/,1,www.ninjacartservices.com/disclosures/,html_table,auto,"'{""field_map"": {""lender"": ""RE No."", ""portfolio"": ""Name of Portfolio serviced by the LSP with RE"", ""amount"": ""Total amount approved for the above Portfolio (INR)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
OkCredit,okbz.in/okcredit-public/oktermloan/DLG%20Portfolio%20Disclosure.pdf,1,okbz.in/okcredit-public/oktermloan/DLG%20Portfolio%20Disclosure.pdf,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in ₹ Cr)"", ""as_on"": {""constant"": ""2025-01-01""}}}'",
OnEMI Technlology Solutions Limited,www.kissht.com/dlg-disclosure,1,www.kissht.com/dlg-disclosure,auto,auto,"'{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
OnionLife Private Limited,karmalife.ai/dlg-disclosure/,1,karmalife.ai/dlg-disclosure/,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""AUM Details (INR in Cr) - Dec 2025"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Paisabazaar.com,www.paisabazaar.com/disclosures,1,www.paisabazaar.com/disclosures,plain_text,playwright,"'{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": {""regex"": ""(Portfolio [A-Z0-9]+):""}, ""amount"": {""regex"": ""INR ([0-9.]+) crore""}, ""as_on"": {""constant"": ""2025-12-31""}}}'",
PayMe,www.paymeindia.in/policy-disclosure,1,www.paymeindia.in/policy-disclosure,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
PhonePe Lending Services Private Limited,www.phonepe.com/lending/other-disclosures/,1,www.phonepe.com/lending/other-disclosures/,auto,playwright,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (INR in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Resilient Digi Services Pvt. Ltd.,bharatpemoney.com/documents/DLG-Disclosure_Dec25.pdf,1,bharatpemoney.com/documents/DLG-Disclosure_Dec25.pdf,pdf_table,auto,"'{""field_map"": {""portfolio"": {""keys"": [""Portfolio AUM (in INR Cr) as on 31st\nDecember 2025"", ""col_0""], ""regex"": ""(Portfolio [0-9]+\\.[0-9]+)""}, ""amount"": {""keys"": [""Portfolio AUM (in INR Cr) as on 31st\nDecember 2025"", ""col_0""], ""regex"": ""\\.[0-9]+[\\s\\n]+([0-9]+(?:\\.[0-9]+)?)""}, ""as_on"": {""constant"": ""2025-12-31""}}}'",
Revfin Services Private Limited,revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf,1,revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf,ocr_simple,auto,"'{""field_map"": {""as_on"": {""constant"": ""2025-12-31""}}, ""ocr"": {""method"": ""simple"", ""resolution"": 320, ""min_conf"": 20, ""slice_count"": 23, ""crop_top_pct"": 6, ""crop_bottom_pct"": 95, ""amount_unit"": ""rupees""}}'",
Shuhari Tech Ventures Private Limited,www.nirafinance.com/dlg-disclosure,1,www.nirafinance.com/dlg-disclosure,ocr_simple,auto,"'{""field_map"": {""as_on"": {""constant"": ""2025-12-31""}}, ""ocr"": {""method"": ""simple"", ""resolution"": 420, ""min_conf"": 30, ""slice_count"": 4, ""crop_top_pct"": 15, ""crop_bottom_pct"": 85, ""amount_unit"": ""crore"", ""render_pdf"": true, ""render_timeout_ms"": 45000, ""render_wait_ms"": 2000, ""render_wait_until"": ""load""}}'",
SaveIN Fintech Pvt Ltd,savein.money/terms-of-use/idfc-terms-and-conditions,1,savein.money/terms-of-use/idfc-terms-and-conditions,auto,playwright,"'{""pre_click_js"": ""const buttons = Array.from(document.querySelectorAll('button')); const lastMonthButton = buttons.filter(b => b.textContent.trim().match(/^(January|February|March|April|May|June|July|August|September|October|November|December) \\d{4}$/)).pop(); if (lastMonthButton) lastMonthButton.click();"", ""field_map"": {""portfolio"": ""DLG Set"", ""amount"": ""Cohort values under each DLG set (₹ Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Si Creva Capital Services Private Limited,sicrevacapital.com/dlg-disclosure/,1,sicrevacapital.com/dlg-disclosure/,auto,auto,"'{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Smartcoin Financials Private Limited,docs.google.com/document/d/e/2PACX-1vQCgML6wUKU_MhuMvAERzMd7T6qtdB1M0tCcQoQqYOz3_zJNeqD6N0HfBnzvEqPmGvK1yIxXUbveeeM/pub,1,docs.google.com/document/d/e/2PACX-1vQCgML6wUKU_MhuMvAERzMd7T6qtdB1M0tCcQoQqYOz3_zJNeqD6N0HfBnzvEqPmGvK1yIxXUbveeeM/pub,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ₹ Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Spice Money Ltd,spicemoney.com/corporate/services,1,spicemoney.com/corporate/services,html_table,playwright,"'{""pre_click_js"": ""const clickMatch = (selectors, predicate) => { for (const sel of selectors) { const el = Array.from(document.querySelectorAll(sel)).find(predicate); if (el) { el.click(); return true; } } return false; }; clickMatch(['button','a','div'], el => el.textContent && el.textContent.trim().toLowerCase() === 'credit'); setTimeout(() => { clickMatch(['button','a','div'], el => el.textContent && el.textContent.trim().toLowerCase().includes('dlg disclosure')); }, 500);"", ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ₹ Cr)*"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
True Credits,www.truecredits.in/dlg-disclosure,1,www.truecredits.in/dlg-disclosure,auto,auto,"'{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount(In Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Uniorbit Payment Solutions Pvt Ltd,www.uni.cards/dlg-portfolio,1,www.uni.cards/dlg-portfolio,html_table,playwright,"'{""field_map"": {""lender"": ""Total No of Lenders"", ""portfolio"": ""Total No of DLG Portfolios"", ""amount"": ""Amount (₹ in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
Vaibhav Vyapaar Private Limited (VVPL),www.vaibhav-vyapaar.com/assets/PDF/dlg_certificate_october.pdf,1,www.vaibhav-vyapaar.com/assets/PDF/dlg_certificate_october.pdf,pdf_table,auto,"'{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""constant"": ""2025-10-31""}}}'",
Bajaj Finserv Direct Limited,www.bajajfinservmarkets.in/disclosures,1,www.bajajfinservmarkets.in/disclosures,auto,auto,"'{""field_map"": {""lender"": ""Regulated Entity"", ""portfolio"": ""Business Segment"", ""amount"": ""Portfolio Value (₹)*"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
FinAGG Services Private Limited,portal.finagg.in/banner/finagg/DLG.pdf,1,portal.finagg.in/banner/finagg/DLG.pdf,auto,auto,"'{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": ""Portfolio OS as on 31-12-2025"", ""as_on"": {""constant"": ""2025-12-31""}}}'",
