name,home_url,active,dlg_url,parse_hint,fetch_hint,rules_json
?ADJ Utility Apps Private Limited,https://khatabook.com,TRUE,https://assets.khatabook.com/dlg-complaince/DLG-disclosure.pdf,auto,auto,"{""field_map"": {""portfolio"": ""Particulars"", ""amount"": {""regex"": ""AUM as on""}, ""as_on"": {""extract_regex"": ""as on ([0-9]{1,2}\\.[0-9]{1,2}\\.[0-9]{4})"", ""extract_from"": ""amount_column"", ""date_format"": ""DD.MM.YYYY"", ""fallback"": ""previous_month_end""}}}"
AKARA CAPITAL ADVISORS PRIVATE LIMITED,https://www.stashfin.com/,TRUE,https://www.stashfin.com/website-disclosure,auto,auto,"{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""fallback"": ""previous_month_end""}}}"
CRED,https://cred.club/,TRUE,https://cred.club/legal/other-disclosures,plain_text,auto,"{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""regex"": ""as on ([A-Za-z]+ [0-9]{1,2}, [0-9]{4})""}}}"
CreditVidya,https://prefr.com,TRUE,https://prefr.com/disclosures,plain_text,playwright,"{""field_map"": {""lender"": {""regex"": ""Lender ([A-Z])""}, ""portfolio"": {""regex"": ""Portfolio ([A-Z0-9.]+):""}, ""amount"": {""regex"": "": ([0-9.]+)""}, ""as_on"": {""regex"": ""as on ([A-Za-z]+ [0-9]{1,2}, [0-9]{4})""}}}"
Fingel Management Services Pvt. Ltd.,https://fingel.in,TRUE,https://fingel.in/dlg-disclosure,auto,auto,"{""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]+, [0-9]{4})""}, ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in Rs)""}}"
Finsall Resources Private Limited,https://www.finsall.com,TRUE,https://finsall.s3.ap-south-1.amazonaws.com/files/dlg/dlg.pdf,pdf_table,auto,"{""field_map"": {""lender"": ""col_1"", ""amount"": ""col_3"", ""as_on"": {""fallback"": ""previous_month_end""}}}"
Flexi Payment,https://www.flexipayment.in,TRUE,https://flexipayment.in/wp-content/uploads/2025/07/May2025-Final.pdf,auto,auto,"{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": {""regex"": ""Portfolio OS as on""}, ""as_on"": {""extract_regex"": ""as on ([0-9]{1,2}-[0-9]{1,2}-[0-9]{4})"", ""extract_from"": ""amount_column"", ""date_format"": ""DD-MM-YYYY"", ""fallback"": ""previous_month_end""}}}"
GetVantage Tech Private Limited,https://getvantage.co,TRUE,https://getvantage.co/assets/img/pdf/DLG_Disclosure1.pdf,pdf_table,auto,"{""field_map"": {""portfolio"": {""keys"": [""col_1""], ""regex"": ""Partner_([0-9]+)""}, ""amount"": {""keys"": [""col_2""], ""regex"": ""[₹?]\\s*([0-9.]+)""}}}"
Groww Credit,https://credit.groww.in,TRUE,https://credit.groww.in/pages/other-disclosures,auto,requests,"{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": ""Lender A"", ""amount"": ""Outstanding Amount (Rs. Crores)"", ""as_on"": ""Date""}}"
Kissht,https://kissht.com,TRUE,https://kissht.com/dlg-disclosure,auto,auto,"{""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]+, [0-9]{4})""}, ""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)""}, ""forward_fill"": [""Lender""]}"
KrazyBee Services Limited,https://www.kbnbfc.in/,TRUE,https://s3.ap-south-1.amazonaws.com/uploads.kbnbfc.in/PoliciesAndCodes/DISCLOSURE+UNDER+GUIDELINES+ON+DEFAULT+LOSS+GUARANTEE.pdf,auto,auto,"{""field_map"": {}}"
LoanTap,https://loantap.in/,TRUE,https://loantap.in/wp-content/uploads/MAS_Disclosure-under-Guidelines-on-Default-Loss-GuaranteeDLG-1-2.pdf,pdf_table,auto,"{""field_map"": {""portfolio"": ""Name of the Portfolio"", ""amount"": ""Total Amount (Crores)\nof Portfolio.""}}"
Moneyview Limited,https://moneyview.in/,TRUE,https://moneyview.in/dlg-disclosure,html_table,auto,"{""page_level"": {""as_on_regex"": ""as on ([A-Za-z]+ \\d{1,2}, \\d{4})""}, ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (INR in Crores)""}}"
MyShubhLife,https://www.myshubhlife.com/,TRUE,https://docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub,auto,auto,"{""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]+ [0-9]{4})""}, ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ? Cr)""}}"
Navi Finserv,https://navi.com/,TRUE,https://public-assets.prod.navi-tech.in/navi-website-assests/documents/DLG%20Disclosure%20May%2025_20250609155543.pdf,pdf_table,auto,"{""field_map"": {""portfolio"": {""keys"": [""Sr.\nN0.""], ""regex"": ""([a-z])\\)""}, ""amount"": {""regex"": ""Outstanding portfolio amount on which DLG""}, ""as_on"": {""extract_regex"": ""as on ([0-9]{1,2} [A-Za-z]+ [0-9]{4})"", ""extract_from"": ""amount_column"", ""date_format"": ""DD Month YYYY"", ""fallback"": ""previous_month_end""}}}"
Ninjacart Services Private Limited,https://www.ninjacartservices.com,TRUE,https://www.ninjacartservices.com/disclosures/,html_table,auto,"{""page_level"": {""as_on_regex"": ""updated on ([0-9]{1,2}/[0-9]{1,2}/[0-9]{4})""}, ""field_map"": {""lender"": ""RE No."", ""portfolio"": ""Name of Portfolio serviced by the LSP with RE"", ""amount"": ""Total amount approved for the above Portfolio (INR)""}}"
OkCredit,https://okcredit.com/,TRUE,https://okbz.in/okcredit-public/oktermloan/DLG%20Portfolio%20Disclosure.pdf,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in ? Cr)""}}"
OnionLife Private Limited,https://karmalife.ai/,TRUE,https://karmalife.ai/dlg-disclosure/,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": {""regex"": ""AUM Details.*-""}, ""as_on"": {""extract_regex"": ""- ([A-Za-z]{3} [0-9]{4})"", ""extract_from"": ""amount_column"", ""date_format"": ""Mon YYYY"", ""to_day"": ""last""}}}"
Paisabazaar.com,https://www.paisabazaar.com/,TRUE,https://www.paisabazaar.com/disclosures,plain_text,playwright,"{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": {""regex"": ""(Portfolio [A-Z0-9]+):""}, ""amount"": {""regex"": ""INR ([0-9.]+) crore""}, ""as_on"": {""regex"": ""as on ([A-Za-z]+ [0-9]{1,2}, [0-9]{4})""}}}"
PhonePe Lending Services Private Limited,https://www.phonepe.com,TRUE,https://www.phonepe.com/lending/other-disclosures/,auto,playwright,"{""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th)? [A-Za-z]+,?[0-9]{4})""}, ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (INR in Crores)""}}"
Resilient Digi Services Pvt. Ltd.,https://bharatpemoney.com,TRUE,https://bharatpemoney.com/documents/DLG-Disclosure_Dec25.pdf,pdf_table,auto,"{""field_map"": {""portfolio"": {""keys"": [""Portfolio AUM (in INR Cr) as on 31st\nDecember 2025"", ""col_0""], ""regex"": ""(Portfolio [0-9]+\\.[0-9]+)""}, ""amount"": {""keys"": [""Portfolio AUM (in INR Cr) as on 31st\nDecember 2025"", ""col_0""], ""regex"": ""\\.[0-9]+[\\s\\n]+([0-9]+(?:\\.[0-9]+)?)""}}, ""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th)? [A-Za-z]+ [0-9]{4})""}}"
Revfin Services Private Limited,https://revfin.in/,TRUE,https://revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf,ocr_simple,auto,"{""field_map"": {""as_on"": {""fallback"": ""previous_month_end""}}, ""ocr"": {""method"": ""simple"", ""resolution"": 320, ""min_conf"": 20, ""slice_count"": 23, ""crop_top_pct"": 6, ""crop_bottom_pct"": 95, ""amount_unit"": ""rupees""}}"
Shuhari Tech Ventures Private Limited,http://www.nirafinance.com/,TRUE,https://www.nirafinance.com/dlg-disclosure,ocr_simple,auto,"{""field_map"": {""as_on"": {""fallback"": ""previous_month_end""}}, ""ocr"": {""method"": ""simple"", ""resolution"": 420, ""min_conf"": 30, ""slice_count"": 4, ""crop_top_pct"": 15, ""crop_bottom_pct"": 85, ""amount_unit"": ""crore"", ""render_pdf"": true, ""render_timeout_ms"": 45000, ""render_wait_ms"": 2000, ""render_wait_until"": ""load""}}"
SaveIN Fintech Pvt Ltd,https://savein.money/,TRUE,https://savein.money/terms-of-use/idfc-terms-and-conditions,auto,playwright,"{""pre_click_js"": ""(async () => { const buttons = Array.from(document.querySelectorAll('button, div[role=\""button\""], a')); const yearButtons = buttons.filter(b => /^20\\d{2}$/.test(b.textContent.trim())).sort((a,b) => parseInt(b.textContent) - parseInt(a.textContent)); const latestYear = yearButtons[0]; if (latestYear) { latestYear.click(); await new Promise(r => setTimeout(r, 500)); } const monthOrder = ['January','February','March','April','May','June','July','August','September','October','November','December']; const updatedButtons = Array.from(document.querySelectorAll('button, div[role=\""button\""], a')); const monthButtons = updatedButtons.filter(b => monthOrder.includes(b.textContent.trim())).sort((a,b) => monthOrder.indexOf(a.textContent.trim()) - monthOrder.indexOf(b.textContent.trim())); const latestMonth = monthButtons[monthButtons.length - 1]; if (latestMonth) latestMonth.click(); const monthDays = {January:31, February:28, March:31, April:30, May:31, June:30, July:31, August:31, September:30, October:31, November:30, December:31}; const dateStr = latestMonth && latestYear ? (monthDays[latestMonth.textContent.trim()] + ' ' + latestMonth.textContent.trim() + ' ' + latestYear.textContent.trim()) : ''; if (dateStr) { const dateDiv = document.createElement('div'); dateDiv.textContent = 'DLGDATE:' + dateStr; document.body.appendChild(dateDiv); } })()"", ""page_level"": {""as_on_regex"": ""DLGDATE:([^<]+)""}, ""field_map"": {""portfolio"": ""DLG Set"", ""amount"": ""Cohort values under each DLG set (₹ Crores)""}}"
Si Creva Capital Services Private Limited,https://sicrevacapital.com,TRUE,https://sicrevacapital.com/dlg-disclosure/,auto,auto,"{""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]+, [0-9]{4})""}, ""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)""}}"
Smartcoin Financials Private Limited,https://www.olyv.co.in/,TRUE,https://docs.google.com/document/d/e/2PACX-1vQCgML6wUKU_MhuMvAERzMd7T6qtdB1M0tCcQoQqYOz3_zJNeqD6N0HfBnzvEqPmGvK1yIxXUbveeeM/pub,auto,auto,"{""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]+ [0-9]{4})""}, ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ? Cr)""}}"
Spice Money Ltd,https://spicemoney.com,TRUE,https://spicemoney.com/corporate/services,html_table,playwright,"{""pre_click_js"": ""const clickMatch = (selectors, predicate) => { for (const sel of selectors) { const el = Array.from(document.querySelectorAll(sel)).find(predicate); if (el) { el.click(); return true; } } return false; }; clickMatch(['button','a','div'], el => el.textContent && el.textContent.trim().toLowerCase() === 'credit'); setTimeout(() => { clickMatch(['button','a','div'], el => el.textContent && el.textContent.trim().toLowerCase().includes('dlg disclosure')); }, 500);"", ""page_level"": {""as_on_regex"": ""as on ([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]+, [0-9]{4})""}, ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ? Cr)*""}}"
True Credits,https://www.truecredits.in/,TRUE,https://www.truecredits.in/dlg-disclosure,auto,auto,"{""page_level"": {""as_on_regex"": ""to ([0-9]{1,2} [A-Za-z]+, [0-9]{4})""}, ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount(In Crores)""}}"
Uniorbit Payment Solutions Pvt Ltd,https://www.uni.cards/,TRUE,https://www.uni.cards/dlg-portfolio,html_table,playwright,"{""page_level"": {""as_on_regex"": ""as on ([A-Za-z]{3} [0-9]{1,2}, [0-9]{4})""}, ""field_map"": {""lender"": ""Total No of Lenders"", ""portfolio"": ""Total No of DLG Portfolios"", ""amount"": ""Amount (? in Crores)""}}"
Vaibhav Vyapaar Private Limited (VVPL),https://www.vaibhav-vyapaar.com,TRUE,https://www.vaibhav-vyapaar.com/assets/PDF/dlg_certificate_october.pdf,pdf_table,auto,"{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""fallback"": ""previous_month_end"", ""note"": ""Typically updates monthly""}}}"
Bajaj Finserv Direct Limited,https://www.bajajfinservmarkets.in/,TRUE,https://www.bajajfinservmarkets.in/disclosures,auto,auto,"{""page_level"": {""as_on_regex"": ""([0-9]{1,2}(?:st|nd|rd|th) [A-Za-z]{3} [0-9]{4})""}, ""field_map"": {""lender"": ""Regulated Entity"", ""portfolio"": ""Business Segment"", ""amount"": ""Portfolio Value (?)*""}}"
FinAGG Services Private Limited,https://finagg.in/,TRUE,https://portal.finagg.in/banner/finagg/DLG.pdf,pdf,auto,"{""field_map"": {""lender"": {""regex"": ""(Regulated Entity|FLDG|The details of the portfolios are as under)""}, ""portfolio"": {""regex"": ""Portfolio\\s*([0-9l]+)\\s+[\\d,]+(?:\\.[\\d]+)?\\s*(?:Yes|No)""}, ""amount"": {""regex"": ""Portfolio\\s*[0-9l]+\\s+([\\d,]+(?:\\.[\\d]+)?)\\s*(?:Yes|No)""}, ""as_on"": {""regex"": ""Portfolio OS as on ([0-9]{1,2}-[0-9]{1,2}-[0-9]{4})""}}}"